generazione,dna,tempo,accuracy,fitness,normalized_fitness
1,"[2, 201, 3, 33]",48.04699397087097,0.5964912176132202,0.5964912176132202,0.6268656708849488
1,"[4, 111, 1, 82]",69.93003511428833,0.7280701994895935,0.7280701994895935,0.8507463292040952
1,"[2, 233, 2, 84]",49.79818868637085,0.6666666865348816,0.6666666865348816,0.7462687089385321
1,"[4, 42, 2, 155]",66.17001104354858,0.6754385828971863,0.6754385828971863,0.7611940253096928
1,"[1, 172, 3, 162]",32.89597940444946,0.5526315569877625,0.5526315569877625,0.5522387847785667
1,"[4, 68, 1, 165]",76.39280652999878,0.7017543911933899,0.7017543911933899,0.805970177256894
1,"[2, 173, 1, 85]",42.12435603141785,0.7105262875556946,0.7105262875556946,0.8208954936280548
1,"[2, 160, 2, 194]",46.84915828704834,0.6666666865348816,0.6666666865348816,0.7462687089385321
1,"[3, 121, 1, 75]",57.483423709869385,0.6578947305679321,0.6578947305679321,0.7313432911505119
1,"[2, 74, 4, 134]",51.19112300872803,0.5789473652839661,0.5789473652839661,0.5970149367257679
1,"[2, 101, 2, 223]",43.86789536476135,0.7982456088066101,0.7982456088066101,0.9701492658408191
1,"[4, 35, 5, 76]",74.00284194946289,0.35087719559669495,0.35087719559669495,0.20895524053112619
1,"[3, 119, 4, 106]",59.68437695503235,0.5175438523292542,0.5175438523292542,0.49253731646020477
1,"[4, 33, 2, 142]",64.33322954177856,0.6578947305679321,0.6578947305679321,0.7313432911505119
1,"[1, 119, 1, 110]",25.094049215316772,0.8157894611358643,0.8157894611358643,1.0
1,"[3, 62, 2, 135]",77.09999084472656,0.429824560880661,0.429824560880661,0.34328359495587024
1,"[2, 97, 3, 161]",80.25797462463379,0.4035087823867798,0.4035087823867798,0.2985074937170988
1,"[3, 150, 1, 87]",70.40578961372375,0.22807016968727112,0.22807016968727112,0.0
1,"[4, 60, 1, 193]",71.87028431892395,0.4912280738353729,0.4912280738353729,0.4477612152214333
1,"[1, 77, 3, 248]",46.988468170166016,0.6578947305679321,0.6578947305679321,0.7313432911505119
2,"[2, 201, 3, 161]",54.03049683570862,0.6666666865348816,0.6666666865348816,0.8170732050903634
2,"[4, 105, 2, 134]",38.98073720932007,0.07894736528396606,0.07894736528396606,0.0
2,"[2, 33, 2, 142]",45.41573429107666,0.5964912176132202,0.5964912176132202,0.7195121870375616
2,"[4, 119, 1, 110]",73.61907315254211,0.6578947305679321,0.6578947305679321,0.8048780467593903
2,"[2, 74, 1, 110]",36.757477045059204,0.640350878238678,0.640350878238678,0.7804878129624384
2,"[4, 42, 2, 134]",66.68725299835205,0.6842105388641357,0.6842105388641357,0.8414634388873153
2,"[3, 121, 1, 106]",51.45805263519287,0.6315789222717285,0.6315789222717285,0.7682926546314653
2,"[1, 101, 2, 223]",36.33854937553406,0.719298243522644,0.719298243522644,0.8902439064812192
2,"[4, 111, 3, 33]",97.22576022148132,0.6578947305679321,0.6578947305679321,0.8048780467593903
2,"[2, 68, 1, 165]",48.67883110046387,0.7982456088066101,0.7982456088066101,1.0
2,"[3, 119, 1, 82]",40.716782093048096,0.6052631735801697,0.6052631735801697,0.7317073453685347
2,"[2, 68, 1, 165]",34.97833776473999,0.6929824352264404,0.6929824352264404,0.8536585143532942
2,"[3, 119, 4, 106]",61.8241868019104,0.5526315569877625,0.5526315569877625,0.6585365611126847
2,"[4, 68, 3, 161]",73.5038366317749,0.7456140518188477,0.7456140518188477,0.9268292986091442
2,"[3, 160, 2, 194]",54.81060981750488,0.7105262875556946,0.7105262875556946,0.8780487481502461
2,"[4, 121, 1, 75]",55.667195081710815,0.6052631735801697,0.6052631735801697,0.7317073453685347
2,"[4, 68, 1, 134]",72.2612235546112,0.6754385828971863,0.6754385828971863,0.8292682805563423
2,"[2, 201, 3, 33]",49.61583375930786,0.5964912176132202,0.5964912176132202,0.7195121870375616
2,"[4, 80, 3, 33]",76.84761786460876,0.5087719559669495,0.5087719559669495,0.5975610180528019
2,"[3, 119, 4, 106]",56.28539538383484,0.45614033937454224,0.45614033937454224,0.5243902337969519
3,"[1, 101, 2, 110]",27.48913836479187,0.6754385828971863,0.6754385828971863,0.6585365611126847
3,"[3, 119, 1, 75]",51.562811851501465,0.7982456088066101,0.7982456088066101,1.0
3,"[4, 42, 2, 75]",70.79203629493713,0.7280701994895935,0.7280701994895935,0.8048781296243845
3,"[3, 101, 2, 223]",53.45970129966736,0.6754385828971863,0.6754385828971863,0.6585365611126847
3,"[2, 74, 1, 134]",47.278661489486694,0.7894737124443054,0.7894737124443054,0.9756098490680423
3,"[2, 111, 3, 33]",44.52736282348633,0.5964912176132202,0.5964912176132202,0.43902437407512307
3,"[4, 111, 1, 157]",55.547985553741455,0.6140350699424744,0.6140350699424744,0.48780484166902693
3,"[3, 121, 1, 33]",57.911391258239746,0.6842105388641357,0.6842105388641357,0.6829268777746308
3,"[2, 74, 1, 106]",42.90201950073242,0.7456140518188477,0.7456140518188477,0.8536585972182884
3,"[4, 42, 2, 110]",58.10360598564148,0.7280701994895935,0.7280701994895935,0.8048781296243845
3,"[4, 68, 1, 110]",65.93733167648315,0.5877193212509155,0.5877193212509155,0.41463422314316534
3,"[3, 160, 1, 165]",60.56240749359131,0.7017543911933899,0.7017543911933899,0.7317073453685347
3,"[3, 121, 2, 223]",50.25258207321167,0.6578947305679321,0.6578947305679321,0.6097560935187808
3,"[2, 201, 3, 134]",36.4184684753418,0.5175438523292542,0.5175438523292542,0.21951218703756153
3,"[2, 201, 1, 110]",35.55954051017761,0.5526315569877625,0.5526315569877625,0.31707312222536926
3,"[2, 119, 1, 82]",49.166377782821655,0.7017543911933899,0.7017543911933899,0.7317073453685347
3,"[3, 119, 1, 106]",55.2990939617157,0.7368420958518982,0.7368420958518982,0.8292682805563423
3,"[2, 201, 3, 33]",47.13437271118164,0.4385964870452881,0.4385964870452881,0.0
3,"[2, 119, 1, 161]",41.674164056777954,0.7894737124443054,0.7894737124443054,0.9756098490680423
3,"[3, 160, 2, 223]",58.76648712158203,0.640350878238678,0.640350878238678,0.5609756259248769
4,"[2, 68, 1, 175]",138.571608543396,0.7105262875556946,0.7105262875556946,0.7857141470422645
4,"[4, 68, 1, 223]",323.9561438560486,0.640350878238678,0.640350878238678,0.5
4,"[1, 172, 3, 155]",305.749881029129,0.6842105388641357,0.6842105388641357,0.6785714632394338
4,"[2, 63, 1, 33]",159.45260643959045,0.6315789222717285,0.6315789222717285,0.46428561028169835
4,"[2, 233, 2, 82]",784.0010542869568,0.7456140518188477,0.7456140518188477,0.9285714632394338
4,"[4, 42, 2, 85]",304.3443355560303,0.640350878238678,0.640350878238678,0.5
4,"[4, 42, 2, 135]",285.27697014808655,0.6578947305679321,0.6578947305679321,0.5714285367605662
4,"[3, 62, 1, 110]",259.13714385032654,0.7017543911933899,0.7017543911933899,0.75
4,"[2, 101, 1, 110]",282.9820034503937,0.6929824352264404,0.6929824352264404,0.7142856102816983
4,"[4, 42, 2, 256]",187.36144995689392,0.5614035129547119,0.5614035129547119,0.17857146323943388
4,"[1, 119, 1, 85]",134.8531334400177,0.6842105388641357,0.6842105388641357,0.6785714632394338
4,"[1, 119, 1, 85]",168.73769664764404,0.7631579041481018,0.7631579041481018,1.0
4,"[2, 173, 1, 85]",375.7645044326782,0.640350878238678,0.640350878238678,0.5
4,"[3, 119, 4, 155]",550.1009364128113,0.5701754093170166,0.5701754093170166,0.21428561028169835
4,"[2, 201, 3, 110]",558.9660589694977,0.7017543911933899,0.7017543911933899,0.75
4,"[4, 111, 1, 110]",543.1119425296783,0.7105262875556946,0.7105262875556946,0.7857141470422645
4,"[4, 101, 2, 223]",408.7904407978058,0.6228070259094238,0.6228070259094238,0.4285714632394339
4,"[4, 201, 3, 33]",1215.3515782356262,0.5964912176132202,0.5964912176132202,0.3214285367605661
4,"[3, 62, 2, 84]",305.3439145088196,0.7105262875556946,0.7105262875556946,0.7857141470422645
4,"[4, 60, 3, 162]",285.55066990852356,0.5175438523292542,0.5175438523292542,0.0
5,"[4, 42, 3, 256]",300.1013169288635,0.6228070259094238,0.6228070259094238,0.14285723530515704
5,"[2, 68, 1, 85]",165.99194145202637,0.7368420958518982,0.7368420958518982,0.7619047156807548
